name,team_label,games,wins,losses
Mike Woodson,ATL,82,26,56
Doc Rivers,BOS,82,33,49
Bernie Bickerstaff,CHA,82,26,56
Scott Skiles,CHI,82,41,41
Mike Brown,CLE,82,50,32
Avery Johnson,DAL,82,60,22
George Karl,DEN,82,44,38
Flip Saunders,DET,82,64,18
Mike Montgomery,GSW,82,34,48
Jeff Van Gundy,HOU,82,34,48
Rick Carlisle,IND,82,41,41
Mike Dunleavy,LAC,82,47,35
Phil Jackson,LAL,82,45,37
Mike Fratello,MEM,82,49,33
Stan Van Gundy,MIA,21,11,10
Pat Riley,MIA,61,41,20
Terry Stotts,MIL,82,40,42
Dwane Casey,MIN,82,33,49
Lawrence Frank,NJN,82,49,33
Byron Scott,NOK,82,38,44
Larry Brown,NYK,82,23,59
Brian Hill,ORL,82,36,46
Maurice Cheeks,PHI,82,38,44
Mike D'Antoni,PHX,82,54,28
Nate McMillan,POR,82,21,61
Rick Adelman,SAC,82,44,38
Gregg Popovich,SAS,82,63,19
Bob Weiss,SEA,30,13,17
Bob Hill,SEA,52,22,30
Sam Mitchell,TOR,82,27,55
Jerry Sloan,UTA,82,41,41
Eddie Jordan,WAS,82,42,40
