name,team_label,games,wins,losses
Mike Woodson,ATL,82,37,45
Doc Rivers,BOS,82,66,16
Sam Vincent,CHA,82,32,50
Scott Skiles,CHI,25,9,16
Pete Myers,CHI,1,0,1
Jim Boylan,CHI,56,24,32
Mike Brown,CLE,82,45,37
Avery Johnson,DAL,82,51,31
George Karl,DEN,82,50,32
Flip Saunders,DET,82,59,23
Don Nelson,GSW,82,48,34
Rick Adelman,HOU,82,55,27
Jim O'Brien,IND,82,36,46
Mike Dunleavy,LAC,82,23,59
Phil Jackson,LAL,82,57,25
Marc Iavaroni,MEM,82,22,60
Pat Riley,MIA,82,15,67
Larry Krystkowiak,MIL,82,26,56
Randy Wittman,MIN,82,22,60
Lawrence Frank,NJN,82,34,48
Byron Scott,NOH,82,56,26
Isiah Thomas,NYK,82,23,59
Stan Van Gundy,ORL,82,52,30
Maurice Cheeks,PHI,82,40,42
Mike D'Antoni,PHX,82,55,27
Nate McMillan,POR,82,41,41
Reggie Theus,SAC,82,38,44
Gregg Popovich,SAS,82,56,26
P.J. Carlesimo,SEA,82,20,62
Sam Mitchell,TOR,82,41,41
Jerry Sloan,UTA,82,54,28
Eddie Jordan,WAS,82,43,39
