name,team_label,games,wins,losses
Mike Budenholzer,ATL,82,38,44
Brad Stevens,BOS,82,25,57
Jason Kidd,BKN,82,44,38
Steve Clifford,CHA,82,43,39
Tom Thibodeau,CHI,82,48,34
Mike Brown,CLE,82,33,49
Rick Carlisle,DAL,82,49,33
Brian Shaw,DEN,82,36,46
Maurice Cheeks,DET,50,21,29
John Loyer,DET,32,8,24
Mark Jackson,GSW,82,51,31
Kevin McHale,HOU,82,54,28
Frank Vogel,IND,82,56,26
Doc Rivers,LAC,82,57,25
Mike D'Antoni,LAL,82,27,55
Dave Joerger,MEM,82,50,32
Erik Spoelstra,MIA,82,54,28
Larry Drew,MIL,82,15,67
Rick Adelman,MIN,82,40,42
Monty Williams,NOP,82,34,48
Mike Woodson,NYK,82,37,45
Scott Brooks,OKC,82,59,23
Jacque Vaughn,ORL,82,23,59
Brett Brown,PHI,82,19,63
Jeff Hornacek,PHX,82,48,34
Terry Stotts,POR,82,54,28
Mike Malone,SAC,82,28,54
Gregg Popovich,SAS,82,62,20
Dwane Casey,TOR,82,48,34
Tyrone Corbin,UTA,82,25,57
Randy Wittman,WAS,82,44,38
