name,team_label,games,wins,losses
Mike Budenholzer,ATL,82,60,22
Brad Stevens,BOS,82,40,42
Lionel Hollins,BKN,82,38,44
Tom Thibodeau,CHI,82,50,32
Steve Clifford,CHA,82,33,49
David Blatt,CLE,82,53,29
Rick Carlisle,DAL,82,50,32
Brian Shaw,DEN,59,20,39
Melvin Hunt,DEN,23,10,13
Stan Van Gundy,DET,82,32,50
Steve Kerr,GSW,82,67,15
Kevin McHale,HOU,82,56,26
Frank Vogel,IND,82,38,44
Doc Rivers,LAC,82,56,26
Byron Scott,LAL,82,21,61
Dave Joerger,MEM,82,55,27
Erik Spoelstra,MIA,82,37,45
Jason Kidd,MIL,82,41,41
Flip Saunders,MIN,82,16,66
Monty Williams,NOP,82,45,37
Derek Fisher,NYK,82,17,65
Scott Brooks,OKC,82,45,37
Jacque Vaughn,ORL,52,15,37
James Borrego,ORL,30,10,20
Brett Brown,PHI,82,18,64
Jeff Hornacek,PHX,82,39,43
Terry Stotts,POR,82,51,31
Mike Malone,SAC,24,11,13
Tyrone Corbin,SAC,28,7,21
George Karl,SAC,30,11,19
Gregg Popovich,SAS,82,55,27
Dwane Casey,TOR,82,49,33
Quin Snyder,UTA,82,38,44
Randy Wittman,WAS,82,46,36
