name,team_label,games,wins,losses
Mike Budenholzer,ATL,82,43,39
Brad Stevens,BOS,82,53,29
Kenny Atkinson,BKN,82,20,62
Fred Hoiberg,CHI,82,41,41
Steve Clifford,CHA,82,36,46
Tyronn Lue,CLE,82,51,31
Rick Carlisle,DAL,82,33,49
Mike Malone,DEN,82,40,42
Stan Van Gundy,DET,82,37,45
Steve Kerr,GSW,82,67,15
Mike D'Antoni,HOU,82,55,27
Nate McMillan,IND,82,42,40
Doc Rivers,LAC,82,51,31
Luke Walton,LAL,82,26,56
David Fizdale,MEM,82,43,39
Erik Spoelstra,MIA,82,41,41
Jason Kidd,MIL,82,42,40
Tom Thibodeau,MIN,82,31,51
Alvin Gentry,NOP,82,34,48
Jeff Hornacek,NYK,82,31,51
Billy Donovan,OKC,82,47,35
Frank Vogel,ORL,82,29,53
Brett Brown,PHI,82,28,54
Earl Watson,PHX,82,24,58
Terry Stotts,POR,82,41,41
Dave Joerger,SAC,82,32,50
Gregg Popovich,SAS,82,61,21
Dwane Casey,TOR,82,51,31
Quin Snyder,UTA,82,51,31
Scott Brooks,WAS,82,49,33
