name,team_label,games,wins,losses
Lenny Wilkens,ATL,82,28,54
Rick Pitino,BOS,82,35,47
Paul Silas,CHH,82,49,33
Tim Floyd,CHI,82,17,65
Randy Wittman,CLE,82,32,50
Don Nelson,DAL,82,40,42
Dan Issel,DEN,82,35,47
Alvin Gentry,DET,58,28,30
George Irvine,DET,24,14,10
P.J. Carlesimo,GSW,27,6,21
Garry St. Jean,GSW,55,13,42
Rudy Tomjanovich,HOU,82,34,48
Larry Bird,IND,82,56,26
Chris Ford,LAC,45,11,34
Jim Todd,LAC,37,4,33
Phil Jackson,LAL,82,67,15
Pat Riley,MIA,82,52,30
George Karl,MIL,82,42,40
Flip Saunders,MIN,82,50,32
Don Casey,NJN,82,31,51
Jeff Van Gundy,NYK,82,50,32
Doc Rivers,ORL,82,41,41
Larry Brown,PHI,82,49,33
Danny Ainge,PHX,20,13,7
Scott Skiles,PHX,62,40,22
Mike Dunleavy,POR,82,59,23
Rick Adelman,SAC,82,44,38
Gregg Popovich,SAS,82,53,29
Paul Westphal,SEA,82,45,37
Butch Carter,TOR,82,45,37
Jerry Sloan,UTA,82,55,27
Brian Hill,VAN,22,4,18
Lionel Hollins,VAN,60,18,42
Gar Heard,WAS,44,14,30
Darrell Walker,WAS,38,15,23
