name,team_label,games,wins,losses
Lon Kruger,ATL,82,25,57
Rick Pitino,BOS,34,12,22
Jim O'Brien,BOS,48,24,24
Paul Silas,CHH,82,46,36
Tim Floyd,CHI,82,15,67
Randy Wittman,CLE,82,30,52
Don Nelson,DAL,82,53,29
Dan Issel,DEN,82,40,42
George Irvine,DET,82,32,50
Dave Cowens,GSW,82,17,65
Rudy Tomjanovich,HOU,82,45,37
Isiah Thomas,IND,82,41,41
Alvin Gentry,LAC,82,31,51
Phil Jackson,LAL,82,56,26
Pat Riley,MIA,82,50,32
George Karl,MIL,82,52,30
Flip Saunders,MIN,82,47,35
Byron Scott,NJN,82,26,56
Jeff Van Gundy,NYK,82,48,34
Doc Rivers,ORL,82,43,39
Larry Brown,PHI,82,56,26
Scott Skiles,PHX,82,51,31
Mike Dunleavy,POR,82,50,32
Rick Adelman,SAC,82,55,27
Gregg Popovich,SAS,82,58,24
Paul Westphal,SEA,15,6,9
Nate McMillan,SEA,67,38,29
Lenny Wilkens,TOR,82,47,35
Jerry Sloan,UTA,82,53,29
Sidney Lowe,VAN,82,23,59
Leonard Hamilton,WAS,82,19,63
