name,team_label,games,wins,losses
Terry Stotts,ATL,82,28,54
Jim O'Brien,BOS,46,22,24
John Carroll,BOS,36,14,22
Bill Cartwright,CHI,14,4,10
Pete Myers,CHI,2,0,2
Scott Skiles,CHI,66,19,47
Paul Silas,CLE,82,35,47
Don Nelson,DAL,82,52,30
Jeff Bzdelik,DEN,82,43,39
Larry Brown,DET,82,54,28
Eric Musselman,GSW,82,37,45
Jeff Van Gundy,HOU,82,45,37
Rick Carlisle,IND,82,61,21
Mike Dunleavy,LAC,82,28,54
Phil Jackson,LAL,82,56,26
Hubie Brown,MEM,82,50,32
Stan Van Gundy,MIA,82,42,40
Terry Porter,MIL,82,41,41
Flip Saunders,MIN,82,58,24
Byron Scott,NJN,42,22,20
Lawrence Frank,NJN,40,25,15
Tim Floyd,NOH,82,41,41
Don Chaney,NYK,39,15,24
Herb Williams,NYK,1,1,0
Lenny Wilkens,NYK,42,23,19
Doc Rivers,ORL,11,1,10
Johnny Davis,ORL,71,20,51
Randy Ayers,PHI,52,21,31
Chris Ford,PHI,30,12,18
Frank Johnson,PHX,21,8,13
Mike D'Antoni,PHX,61,21,40
Maurice Cheeks,POR,82,41,41
Rick Adelman,SAC,82,55,27
Gregg Popovich,SAS,82,57,25
Nate McMillan,SEA,82,37,45
Kevin O'Neill,TOR,82,33,49
Jerry Sloan,UTA,82,42,40
Eddie Jordan,WAS,82,25,57
