name,team_label,games,wins,losses
Lon Kruger,ATL,27,11,16
Terry Stotts,ATL,55,24,31
Jim O'Brien,BOS,82,44,38
Bill Cartwright,CHI,82,30,52
John Lucas,CLE,42,8,34
Keith Smart,CLE,40,9,31
Don Nelson,DAL,82,60,22
Jeff Bzdelik,DEN,82,17,65
Rick Carlisle,DET,82,50,32
Eric Musselman,GSW,82,38,44
Rudy Tomjanovich,HOU,82,43,39
Isiah Thomas,IND,82,48,34
Alvin Gentry,LAC,58,19,39
Dennis Johnson,LAC,24,8,16
Phil Jackson,LAL,82,50,32
Sidney Lowe,MEM,8,0,8
Hubie Brown,MEM,74,28,46
Pat Riley,MIA,82,25,57
George Karl,MIL,82,42,40
Flip Saunders,MIN,82,51,31
Byron Scott,NJN,82,49,33
Paul Silas,NOH,82,47,35
Don Chaney,NYK,82,37,45
Doc Rivers,ORL,82,42,40
Larry Brown,PHI,82,48,34
Frank Johnson,PHX,82,44,38
Maurice Cheeks,POR,82,50,32
Rick Adelman,SAC,82,59,23
Gregg Popovich,SAS,82,60,22
Nate McMillan,SEA,82,40,42
Lenny Wilkens,TOR,82,24,58
Jerry Sloan,UTA,82,47,35
Doug Collins,WAS,82,37,45
