name,team_label,games,wins,losses
Lloyd Pierce,ATL,53,14,39
Brad Stevens,BOS,51,36,15
Kenny Atkinson,BKN,50,23,27
Jim Boylen,CHI,53,19,34
James Borrego,CHA,51,16,35
John Beilein,CLE,52,13,39
Rick Carlisle,DAL,52,31,21
Mike Malone,DEN,52,36,16
Dwane Casey,DET,54,19,35
Steve Kerr,GSW,52,12,40
Mike D'Antoni,HOU,52,33,19
Nate McMillan,IND,52,31,21
Doc Rivers,LAC,51,36,15
Frank Vogel,LAL,50,38,12
Taylor Jenkins,MEM,52,26,26
Erik Spoelstra,MIA,51,34,17
Mike Budenholzer,MIL,51,44,7
Ryan Saunders,MIN,50,15,35
Alvin Gentry,NOP,52,21,31
David Fizdale,NYK,22,4,18
Mike Miller,NYK,30,12,18
Billy Donovan,OKC,52,32,20
Steve Clifford,ORL,52,22,30
Brett Brown,PHI,53,32,21
Monty Williams,PHX,52,21,31
Terry Stotts,POR,53,24,29
Luke Walton,SAC,51,20,31
Gregg Popovich,SAS,51,22,29
Nick Nurse,TOR,52,38,14
Quin Snyder,UTA,51,33,18
Scott Brooks,WAS,50,18,32
