name,team_label,games,wins,losses
Mike Budenholzer,ATL,82,48,34
Brad Stevens,BOS,82,48,34
Lionel Hollins,BKN,37,10,27
Tony Brown,BKN,45,11,34
Fred Hoiberg,CHI,82,42,40
Steve Clifford,CHA,82,48,34
David Blatt,CLE,41,30,11
Tyronn Lue,CLE,41,27,14
Rick Carlisle,DAL,82,42,40
Mike Malone,DEN,82,33,49
Stan Van Gundy,DET,82,44,38
Steve Kerr,GSW,82,73,9
Kevin McHale,HOU,11,4,7
J.B. Bickerstaff,HOU,71,37,34
Frank Vogel,IND,82,45,37
Doc Rivers,LAC,82,53,29
Byron Scott,LAL,82,17,65
Dave Joerger,MEM,82,42,40
Erik Spoelstra,MIA,82,48,34
Jason Kidd,MIL,82,33,49
Sam Mitchell,MIN,82,29,53
Alvin Gentry,NOP,82,30,52
Derek Fisher,NYK,54,23,31
Kurt Rambis,NYK,28,9,19
Billy Donovan,OKC,82,55,27
Scott Skiles,ORL,82,35,47
Brett Brown,PHI,82,10,72
Jeff Hornacek,PHX,49,14,35
Earl Watson,PHX,33,9,24
Terry Stotts,POR,82,44,38
George Karl,SAC,82,33,49
Gregg Popovich,SAS,82,67,15
Dwane Casey,TOR,82,56,26
Quin Snyder,UTA,82,40,42
Randy Wittman,WAS,82,41,41
