name,team_label,games,wins,losses
Larry Drew,ATL,82,44,38
Doc Rivers,BOS,81,41,40
Avery Johnson,BKN,28,14,14
P.J. Carlesimo,BKN,54,35,19
Mike Dunlap,CHA,82,21,61
Tom Thibodeau,CHI,82,45,37
Byron Scott,CLE,82,24,58
Rick Carlisle,DAL,82,41,41
George Karl,DEN,82,57,25
Lawrence Frank,DET,82,29,53
Mark Jackson,GSW,82,47,35
Kevin McHale,HOU,82,45,37
Frank Vogel,IND,81,49,32
Vinny Del Negro,LAC,82,56,26
Mike Brown,LAL,5,1,4
Bernie Bickerstaff,LAL,5,4,1
Mike D'Antoni,LAL,72,40,32
Lionel Hollins,MEM,82,56,26
Erik Spoelstra,MIA,82,66,16
Scott Skiles,MIL,32,16,16
Jim Boylan,MIL,50,22,28
Rick Adelman,MIN,82,31,51
Monty Williams,NOH,82,27,55
Mike Woodson,NYK,82,54,28
Scott Brooks,OKC,82,60,22
Jacque Vaughn,ORL,82,20,62
Doug Collins,PHI,82,34,48
Alvin Gentry,PHX,41,13,28
Lindsey Hunter,PHX,41,12,29
Terry Stotts,POR,82,33,49
Keith Smart,SAC,82,28,54
Gregg Popovich,SAS,82,58,24
Dwane Casey,TOR,82,34,48
Tyrone Corbin,UTA,82,43,39
Randy Wittman,WAS,82,29,53
