name,team_label,games,wins,losses
Larry Drew,ATL,82,44,38
Doc Rivers,BOS,82,56,26
Larry Brown,CHA,28,9,19
Paul Silas,CHA,54,25,29
Tom Thibodeau,CHI,82,62,20
Byron Scott,CLE,82,19,63
Rick Carlisle,DAL,82,57,25
George Karl,DEN,82,50,32
John Kuester,DET,82,30,52
Keith Smart,GSW,82,36,46
Rick Adelman,HOU,82,43,39
Jim O'Brien,IND,44,17,27
Frank Vogel,IND,38,20,18
Vinny Del Negro,LAC,82,32,50
Phil Jackson,LAL,82,57,25
Lionel Hollins,MEM,82,46,36
Erik Spoelstra,MIA,82,58,24
Scott Skiles,MIL,82,35,47
Kurt Rambis,MIN,82,17,65
Avery Johnson,NJN,82,24,58
Monty Williams,NOH,82,46,36
Mike D'Antoni,NYK,82,42,40
Scott Brooks,OKC,82,55,27
Stan Van Gundy,ORL,82,52,30
Doug Collins,PHI,82,41,41
Alvin Gentry,PHX,82,40,42
Nate McMillan,POR,82,48,34
Paul Westphal,SAC,82,24,58
Gregg Popovich,SAS,82,61,21
Jay Triano,TOR,82,22,60
Jerry Sloan,UTA,54,31,23
Tyrone Corbin,UTA,28,8,20
Flip Saunders,WAS,82,23,59
