name,team_label,games,wins,losses
Lon Kruger,ATL,82,33,49
Jim O'Brien,BOS,82,49,33
Paul Silas,CHH,82,44,38
Tim Floyd,CHI,25,4,21
Bill Berry,CHI,2,0,2
Bill Cartwright,CHI,55,17,38
John Lucas,CLE,82,29,53
Don Nelson,DAL,82,57,25
Dan Issel,DEN,26,9,17
Mike Evans,DEN,56,18,38
Rick Carlisle,DET,82,50,32
Dave Cowens,GSW,23,8,15
Brian Winters,GSW,59,13,46
Rudy Tomjanovich,HOU,82,28,54
Isiah Thomas,IND,82,42,40
Alvin Gentry,LAC,82,39,43
Phil Jackson,LAL,82,58,24
Sidney Lowe,MEM,82,23,59
Pat Riley,MIA,82,36,46
George Karl,MIL,82,41,41
Flip Saunders,MIN,82,50,32
Byron Scott,NJN,82,52,30
Jeff Van Gundy,NYK,19,10,9
Don Chaney,NYK,63,20,43
Doc Rivers,ORL,82,44,38
Larry Brown,PHI,82,43,39
Scott Skiles,PHX,51,25,26
Frank Johnson,PHX,31,11,20
Maurice Cheeks,POR,82,49,33
Rick Adelman,SAC,82,61,21
Gregg Popovich,SAS,82,58,24
Nate McMillan,SEA,82,45,37
Lenny Wilkens,TOR,82,42,40
Jerry Sloan,UTA,82,44,38
Doug Collins,WAS,82,37,45
