Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FGP,3P,3PA,3PP,2P,2PA,2PP,eFGP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020,Daniel Gafford,C,21,CHI,33,4,12.7,2.0,3.0,.670,0.0,0.0,,2.0,3.0,.670,.670,0.6,1.2,.526,1.2,1.2,2.4,0.4,0.3,1.3,0.5,1.8,4.7
2020,Danilo Gallinari,PF,31,OKC,47,47,30.7,6.0,13.5,.443,3.0,7.3,.407,3.0,6.2,.486,.553,4.3,4.8,.899,0.7,5.0,5.7,2.3,0.7,0.1,1.3,1.3,19.3
2020,Langston Galloway,SG,28,DET,57,6,26.0,3.5,8.1,.432,2.0,5.0,.395,1.5,3.1,.491,.554,1.2,1.4,.857,0.5,1.7,2.2,1.6,0.7,0.2,0.6,1.4,10.1
2020,Darius Garland,PG,20,CLE,53,53,30.5,4.6,11.8,.394,1.8,5.2,.352,2.8,6.6,.426,.470,1.1,1.3,.870,0.4,1.5,1.9,3.8,0.7,0.0,2.6,1.6,12.2
2020,Marc Gasol,C,35,TOR,35,35,27.8,2.8,6.6,.424,1.4,3.5,.403,1.4,3.1,.449,.532,0.7,1.0,.722,0.8,5.6,6.5,3.5,0.8,0.9,1.2,2.9,7.8
2020,Rudy Gay,PF,33,SAS,51,5,21.0,3.5,7.9,.439,0.9,3.0,.318,2.5,4.9,.512,.499,1.6,1.9,.866,0.8,4.5,5.3,1.7,0.4,0.5,1.4,1.4,9.5
2020,Paul George,SF,29,LAC,34,34,29.4,7.1,16.8,.426,3.3,8.3,.394,3.9,8.5,.458,.524,4.2,4.6,.899,0.4,5.6,6.1,3.9,1.3,0.5,3.0,2.4,21.7
2020,Taj Gibson,C,34,NYK,52,46,16.5,2.6,4.5,.572,0.1,0.2,.273,2.5,4.3,.587,.578,0.5,0.8,.700,1.8,2.5,4.3,0.9,0.4,0.4,0.8,2.1,5.8
2020,Harry Giles,PF,21,SAC,28,7,12.5,2.5,4.6,.547,0.0,0.0,,2.5,4.6,.547,.547,0.6,0.8,.810,0.9,2.6,3.5,1.2,0.5,0.3,0.9,2.3,5.6
2020,Shai Gilgeous-Alexander,SG,21,OKC,55,55,35.5,7.0,15.1,.465,1.3,3.6,.350,5.8,11.5,.501,.507,4.1,5.1,.809,0.7,5.4,6.1,3.2,1.2,0.7,1.9,1.7,19.5
