Rk,Pk,Tm,Player,Pre,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
21,21,OKC,Brandon Clarke,Gonzaga,1,48,1050,588,281,68,0.622,0.412,0.793,21.9,12.3,5.9,1.4,4.1,0.189,2.6,1.2
22,22,BOS,Grant Williams,Tennessee,1,52,809,197,138,55,0.43,0.286,0.714,15.6,3.8,2.7,1.1,1.4,0.082,-0.1,0.4
23,23,UTA,Darius Bazley,Princeton,1,53,909,238,196,29,0.383,0.3,0.681,17.2,4.5,3.7,0.5,0.4,0.021,-3.9,-0.4
24,24,PHI,Ty Jerome,Virginia,1,21,247,84,35,37,0.376,0.314,0.75,11.8,4,1.7,1.8,0.2,0.038,-2.7,0
25,25,POR,Nassir Little,UNC,1,39,496,149,99,18,0.43,0.255,0.667,12.7,3.8,2.5,0.5,0.6,0.053,-3,-0.1
26,26,CLE,Dylan Windler,Belmont,,,,,,,,,,,,,,,,,
27,27,BRK,Mfiondu Kabengele,Florida State,1,12,64,42,11,2,0.438,0.45,1,5.3,3.5,0.9,0.2,0.2,0.174,-0.7,0
28,28,GSW,Jordan Poole,Michigan,1,49,1065,395,102,97,0.301,0.266,0.833,21.7,8.1,2.1,2,-1.4,-0.061,-7.4,-1.4
29,29,SAS,Keldon Johnson,Kentucky,1,4,12,4,3,0,0.4,,,3,1,0.8,0,0,-0.072,-18.5,0
30,30,MIL,Kevin Porter,USC,1,42,952,411,133,83,0.459,0.347,0.711,22.7,9.8,3.2,2,0.2,0.01,-3.4,-0.3
31,31,BRK,Nicolas Claxton,Georgia,1,14,183,62,43,16,0.565,0.143,0.474,13.1,4.4,3.1,1.1,0.5,0.12,-0.3,0.1
32,32,PHO,KZ Okpala,Stanford,1,5,26,7,5,1,0.6,0,0.5,5.2,1.4,1,0.2,0.1,0.121,0.4,0
33,33,PHI,Carsen Edwards,Purdue,1,33,296,96,41,22,0.32,0.306,0.846,9,2.9,1.2,0.7,0.1,0.01,-4.9,-0.2
34,34,PHI,Bruno Fernando,Maryland,1,46,559,186,155,38,0.506,0.129,0.605,12.2,4,3.4,0.8,0.5,0.044,-3.2,-0.2
35,35,ATL,Marcos Louzada Silva,Franca,,,,,,,,,,,,,,,,,
36,36,CHO,Cody Martin,Nevada,1,38,616,170,110,52,0.434,0.25,0.667,16.2,4.5,2.9,1.4,0.7,0.058,-2.3,0
37,37,DAL,Deividas Sirvydis,Perlas,,,,,,,,,,,,,,,,,
38,38,CHI,Daniel Gafford,Arkansas,1,34,436,159,82,15,0.67,,0.525,12.8,4.7,2.4,0.4,1.3,0.148,1.9,0.4
39,39,NOP,Alen Smailagic,Santa Cruz Warriors,1,13,130,59,27,11,0.526,0.25,0.842,10,4.5,2.1,0.8,0.3,0.105,-1.9,0
40,40,SAC,Justin James,Wyoming,1,32,216,85,30,16,0.423,0.346,0.476,6.8,2.7,0.9,0.5,0.2,0.036,-3.9,-0.1
41,41,GSW,Eric Paschall,Villanova,1,51,1366,674,241,87,0.484,0.288,0.776,26.8,13.2,4.7,1.7,1.3,0.046,-3.8,-0.6
42,42,PHI,Admiral Schofield,Tennessee,1,26,292,83,34,14,0.4,0.298,0.692,11.2,3.2,1.3,0.5,0.1,0.019,-4.5,-0.2
43,43,MIN,Jaylen Nowell,Washington,1,9,102,40,9,11,0.359,0.15,0.9,11.3,4.4,1,1.2,0,0.013,-7.2,-0.1
44,44,MIA,Bol Bol,Oregon,,,,,,,,,,,,,,,,,
45,45,DET,Isaiah Roby,Nebraska,1,1,2,0,0,0,0,,,2,0,0,0,0,-0.545,-28.4,0
46,46,ORL,Talen Horton-Tucker,Iowa State,1,2,5,0,0,2,0,0,,2.5,0,0,1,0,0.11,-9.4,0
47,47,SAC,Ignas Brazdeikis,Michigan,1,9,53,17,5,4,0.273,0.111,0.8,5.9,1.9,0.6,0.4,-0.1,-0.108,-10.6,-0.1
48,48,LAC,Terance Mann,Florida State,1,34,270,56,33,38,0.407,0.25,0.75,7.9,1.6,1,1.1,0.3,0.055,-3.5,-0.1
49,49,SAS,Quinndary Weatherspoon,Mississippi State,1,1,4,0,0,0,0,,,4,0,0,0,0,-0.286,-17.2,0
50,50,IND,Jarrell Brantley,College of Charleston,1,3,11,0,5,1,,,,3.7,0,1.7,0.3,0,0.065,2,0
51,51,BOS,Tremont Waters,LSU,1,9,73,28,7,10,0.357,0.133,1,8.1,3.1,0.8,1.1,0,-0.011,-4.3,0
52,52,CHO,Jalen McDaniels,San Diego State,1,6,81,29,14,1,0.625,0.571,1,13.5,4.8,2.3,0.2,0.3,0.184,-1.7,0
53,53,UTA,Justin Wright-Foreman,Hofstra,,,,,,,,,,,,,,,,,
54,54,PHI,Marial Shayok,Iowa State,1,2,10,3,3,1,0.2,0.333,,5,1.5,1.5,0.5,0,-0.219,-14.9,0
55,55,NYK,Kyle Guy,Virginia,1,2,4,2,0,0,0.5,0,,2,1,0,0,0,-0.023,-11,0
56,56,LAC,Jaylen Hands,UCLA,,,,,,,,,,,,,,,,,
57,57,NOP,Jordan Bone,Tennessee,1,10,53,12,4,8,0.25,0.2,,5.3,1.2,0.4,0.8,-0.1,-0.113,-11.3,-0.1
58,58,GSW,Miye Oni,Yale,1,3,8,0,1,0,,,,2.7,0,0.3,0,0,-0.14,-10.9,0
59,59,TOR,Dewan Hernandez,Miami (FL),1,4,11,4,7,0,0.2,0,1,2.8,1,1.8,0,0,0.005,-20.2,-0.1
60,60,SAC,Vanja Marinkovic,KK Partizan,,,,,,,,,,,,,,,,,
