Rk,Pk,Tm,Player,Pre,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,NOP,Zion Williamson,Duke,1,10,274,221,75,22,0.576,0.364,0.654,27.4,22.1,7.5,2.2,0.9,0.153,0.5,0.2
2,2,MEM,Ja Morant,Murray State,1,49,1465,865,171,342,0.495,0.355,0.781,29.9,17.7,3.5,7,2.8,0.092,-0.8,0.5
3,3,NYK,RJ Barrett,Duke,1,45,1372,614,229,109,0.388,0.318,0.611,30.5,13.6,5.1,2.4,-0.5,-0.019,-4.3,-0.8
4,4,LAL,De'Andre Hunter,Virginia,1,54,1704,664,216,98,0.413,0.353,0.759,31.6,12.3,4,1.8,0,0,-4.3,-1
5,5,CLE,Darius Garland,Vanderbilt,1,53,1616,648,100,204,0.394,0.352,0.87,30.5,12.2,1.9,3.8,-1.5,-0.043,-6,-1.6
6,6,PHO,Jarrett Culver,Texas Tech,1,52,1268,472,176,94,0.388,0.277,0.465,24.4,9.1,3.4,1.8,-0.3,-0.012,-3.4,-0.4
7,7,CHI,Coby White,UNC,1,56,1367,624,192,135,0.369,0.332,0.755,24.4,11.1,3.4,2.4,0.1,0.003,-4.6,-0.9
8,8,ATL,Jaxson Hayes,Texas,1,52,928,412,222,50,0.664,0.25,0.626,17.8,7.9,4.3,1,3.4,0.176,1.8,0.9
9,9,WAS,Rui Hachimura,Gonzaga,1,30,864,416,179,46,0.487,0.236,0.826,28.8,13.9,6,1.5,1.1,0.063,-3.5,-0.3
10,10,ATL,Cam Reddish,Duke,1,49,1284,462,183,75,0.357,0.313,0.794,26.2,9.4,3.7,1.5,-0.8,-0.028,-4.8,-0.9
11,11,MIN,Cameron Johnson,UNC,1,42,832,325,122,45,0.411,0.39,0.75,19.8,7.7,2.9,1.1,1.4,0.082,-0.5,0.3
12,12,CHO,PJ Washington,Kentucky,1,48,1445,566,262,100,0.465,0.375,0.661,30.1,11.8,5.5,2.1,1.7,0.058,-1.1,0.3
13,13,MIA,Tyler Herro,Kentucky,1,46,1273,603,186,91,0.414,0.393,0.835,27.7,13.1,4,2,1,0.038,-3.5,-0.5
14,14,BOS,Romeo Langford,Indiana,1,18,184,54,18,3,0.487,0.267,0.75,10.2,3,1,0.2,0.4,0.1,-1.9,0
15,15,DET,Sekou Doumbouya,Limoges,1,30,605,204,102,14,0.394,0.305,0.675,20.2,6.8,3.4,0.5,-0.2,-0.016,-6.4,-0.7
16,16,ORL,Chuma Okeke,Auburn,,,,,,,,,,,,,,,,,
17,17,BRK,Nickeil Alexander-Walker,Virginia Tech,1,41,501,211,80,74,0.339,0.342,0.607,12.2,5.1,2,1.8,-0.4,-0.038,-6.1,-0.5
18,18,IND,Goga Bitadze,Budu?nost Podgorica,1,42,362,128,87,19,0.481,0.16,0.69,8.6,3,2.1,0.5,0.5,0.07,-2.2,0
19,19,SAS,Luka Šamanic,Olimpija Ljubljana,,,,,,,,,,,,,,,,,
20,20,BOS,Matisse Thybulle,Washington,1,48,970,231,74,57,0.404,0.37,0.649,20.2,4.8,1.5,1.2,1.8,0.09,1.6,0.9
