Rk,Pk,Tm,Player,Pre,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
37,37,SAC,Gary Trent,Duke,2,58,878,334,77,43,0.411,0.384,0.786,15.1,5.8,1.3,0.7,1.2,0.067,-1.7,0.1
38,38,PHI,Khyri Thomas,Creighton,2,28,201,62,20,8,0.319,0.286,0.615,7.2,2.2,0.7,0.3,0,0.006,-5.3,-0.2
39,39,PHI,Isaac Bonga,Skyliners Juniors,2,70,970,250,181,68,0.468,0.353,0.75,13.9,3.6,2.6,1,1.4,0.071,-0.9,0.3
40,40,BRK,Rodions Kurucs,FC Barcelona B,2,95,1718,687,323,81,0.458,0.349,0.754,18.1,7.2,3.4,0.9,2.2,0.062,-2.4,-0.2
41,41,ORL,Jarred Vanderbilt,Kentucky,2,28,115,36,32,5,0.519,0,0.667,4.1,1.3,1.1,0.2,0,0.016,-4.1,-0.1
42,42,DET,Bruce Brown,Miami (FL),2,129,2988,807,440,307,0.425,0.299,0.739,23.2,6.3,3.4,2.4,3.6,0.058,-1.2,0.6
43,43,DEN,Justin Jackson,Maryland,,,,,,,,,,,,,,,,,
44,44,WAS,Issuf Sanon,Dnipro B,,,,,,,,,,,,,,,,,
45,45,BRK,Hamidou Diallo,Kentucky,2,83,1132,395,206,36,0.453,0.17,0.633,13.6,4.8,2.5,0.4,1,0.04,-4.8,-0.8
46,46,HOU,De'Anthony Melton,USC,2,92,1762,600,289,284,0.417,0.305,0.826,19.2,6.5,3.1,3.1,1.8,0.048,-0.8,0.5
47,47,LAL,Sviatoslav Mykhailiuk,Kansas,2,90,1505,558,120,115,0.398,0.392,0.792,16.7,6.2,1.3,1.3,1.5,0.047,-2.7,-0.3
48,48,MIN,Keita Bates-Diop,Ohio State,2,69,1168,409,195,47,0.426,0.301,0.691,16.9,5.9,2.8,0.7,1.5,0.063,-2.7,-0.2
49,49,SAS,Chimezie Metu,USC,2,44,209,89,59,18,0.402,0,0.76,4.8,2,1.3,0.4,-0.1,-0.012,-6.1,-0.2
50,50,IND,Alize Johnson,Missouri State,2,25,110,31,34,3,0.367,0.5,0.571,4.4,1.2,1.4,0.1,0.2,0.075,-6.7,-0.1
51,51,NOP,Tony Carr,Penn State,,,,,,,,,,,,,,,,,
52,52,UTA,Vince Edwards,Purdue,1,2,16,3,2,0,0.25,0.25,,8,1.5,1,0,0,-0.014,-9.8,0
53,53,OKC,Devon Hall,Virginia,1,5,20,5,1,3,0.2,0,0.75,4,1,0.2,0.6,0,-0.061,-11.6,0
54,54,DAL,Shake Milton,SMU,2,43,610,230,81,52,0.414,0.324,0.763,14.2,5.3,1.9,1.2,0.8,0.062,-3.2,-0.2
55,55,CHO,Arnoldas Kulboka,,,,,,,,,,,,,,,,,,
56,56,PHI,Ray Spalding,Louisville,1,14,148,54,48,5,0.532,0,0.333,10.6,3.9,3.4,0.4,0.2,0.051,-3.4,-0.1
57,57,OKC,Kevin Hervey,UT Arlington,1,6,13,0,2,1,0,0,,2.2,0,0.3,0.2,-0.1,-0.359,-17.2,0
58,58,DEN,Thomas Welsh,UCLA,1,11,36,18,4,5,0.538,0.429,0.5,3.3,1.6,0.4,0.5,0.1,0.162,-2.6,0
59,59,PHO,George King,Colorado,1,1,6,0,1,0,,,,6,0,1,0,0,-0.001,-10.6,0
60,60,PHI,Kostas Antetokounmpo,Dayton,2,5,16,2,2,1,0,,0.5,3.2,0.4,0.4,0.2,0,-0.128,-10.3,0
