name,nick
"Pat Durham","Bull"
"Bob Boozer","Bullet Bob"
"Tyler Johnson","Bumpy"
"Howard Komives","Butch"
"Kendall Marshall","Butter"
"Jim McMillian","Butterball"
"Chris Webber","C-Webb"
"Jimmy Collins","Cactus"
"Greg Anderson","Cadillac"
"London Perrantes","Cali Swag"
"Cameron Payne","Cam,Killa Cam"
"Lamar Odom","Candy Man,L.O."
"Stephen Jackson","Cap'n Jack,Stack Jack"
"Acie Law","Captain Clutch"
"Kirk Hinrich","Captain Kirk"
"James Silas","Captain Late,The Snake"
"Cuttino Mobley","Cat"
"Terry Catledge","Cat Man"
"Chris Bosh","CB4"
"Chris Douglas-Roberts","CDR,The Dread Pirate"
"Nate Thurmond","Chairman of the Boards,Nate the Great"
"Andres Nocioni","Chapu,Noc"
"Jerry Sloan","Charley Hustle,The Original Bull"
"Warren Davis","Checkmate"
"Royal Ivey","Cheese,Smoke"
"Stephen Curry","Chef Curry,Steph"
"Al-Farouq Aminu","Chief"
"Felton Spencer","Chief"
"Pete Chilcutt","Chili Pete"
"Anthony Morrow","Chocolate Reign"
"Darryl Dawkins","Chocolate Thunder,Double D"
"Chuck Nevitt","Chuck E. Cheese"
"Cincinnatus Powell","Cincy"
"Kurt Rambis","Clark Kent,Rambo"
"Walt Frazier","Clyde"
"Clyde Drexler","Clyde the Glide"
"Matt Bonner","Coach B,Red Mamba,Red Rocket,Sandwich Hunter"
"Norris Cole","Cole Train"
"Bimbo Coles","Colsie"
"Stephon Marbury","Coney Island's Finest,Starbury"
"DJ Mbenga","Congo Cash"
"Craig Smith","Cookie Monster,Rhino"
"Luka Dončić","Cool Hand,Matador,The Don,Wonder Boy"
"Luke Jackson","Cool Hand Luke"
"Michael Cooper","Coop"
"Wayne Cooper","Coop"
"Bob Cousy","Cooz,Houdini of the Hardwood"
"Cedric Maxwell","Cornbread"
"Chris Paul","CP3"
"Gerald Wallace","Crash,G-Force"
"Kurt Thomas","Crazy Eyes,Mid-Life"
"Jameer Nelson","Crid Midget"
"Mark Crow","Crow-bar"
"Mike Davis","Crusher"
"Nenad Krstic","Curly"
"Derek Fisher","D-Fish"
"Desmond Mason","D-Mase"
"Darius Miles","D-Miles,The Punisher"
"Donatas Motiejunas","D-Mo"
"Derrick Rose","D-Rose,Pooh"
"Dwyane Wade","D-Wade,Flash"
"Deron Williams","D-Will"
"Derrick Williams","D-Will"
"Delon Wright","D-Wright"
"D.J. Mbenga","D.J."
"Dwight Howard","D12,Superman"
"Erick Dampier","Damp"
"Guerschon Yabusele","Dancing Bear"
"Jason Maxiell","Darkness,J-Max"
"Dee Brown","Dee-lightful"
"Grayson Allen","Deebo"
"DeMar DeRozan","Deebo"
"Dikembe Mutombo","Deke,Mt. Mutombo"
"Matthew Dellavedova","Delly"
"Dennis Rodman","Demolition Man,Dennis the Menace,Rodzilla,The Worm"
"Rudy LaRusso","Deuce,Honey Boy,Roughhouse Rudy"
"Antonio McDyess","Dice"
"Dick McGuire","Dick the Knick"
"Mike Smrek","Diesel"
"Shaquille O'Neal","Diesel,Shaq,Shaq Daddy,Shaq Fu,Superman,The Big Aristotle"
"Al Cervi","Digger"
"Don Martin","Dino"
"Wilt Chamberlain","Dip,The Big Dipper,Wilt the Stilt"
"Dirk Nowitzki","Dirty,Robin Hood,The German Moses"
"Allan Bristow","Disco"
"D'Angelo Russell","DLo"
"Ernie Vandeweghe","Doc"
"Joel Anthony","Doc,The Warden"
