Yr,Lg,Conference,Series,Date,,Winner,Wins,,Loser,Losses,,Favorite,Underdog
2017,NBA,West,Conference Finals,May 1 May 22 2017,,Golden State Warriors (1),4,,San Antonio Spurs (2),0,,GSW1050),SAS (+675)
2017,NBA,East,Conference Finals,May 1 May 25 2017,,Cleveland Cavaliers (2),4,,Boston Celtics (1),1,,CLE700),BOS (+500)
2017,NBA,,NBA Finals,Jun  Jun 12 2017,,Golden State Warriors (1),4,,Cleveland Cavaliers (2),1,,GSW300),CLE (+250)
2016,NBA,East,Conference First Round,Apr 1 Apr 24 2016,,Cleveland Cavaliers (1),4,,Detroit Pistons (8),0,,CLE1700),DET (+1100)
2016,NBA,East,Conference First Round,Apr 1 May 1 2016,,Toronto Raptors (2),4,,Indiana Pacers (7),3,,TOR400),IND (+325)
2016,NBA,East,Conference First Round,Apr 1 May 1 2016,,Miami Heat (3),4,,Charlotte Hornets (6),3,,MIA170),CHO (+150)
2016,NBA,East,Conference First Round,Apr 1 Apr 28 2016,,Atlanta Hawks (4),4,,Boston Celtics (5),2,,ATL165),BOS (+145)
2016,NBA,West,Conference First Round,Apr 1 Apr 27 2016,,Golden State Warriors (1),4,,Houston Rockets (8),1,,GSW10000),HOU (+4000)
2016,NBA,West,Conference First Round,Apr 1 Apr 24 2016,,San Antonio Spurs (2),4,,Memphis Grizzlies (7),0,,SAS17000),MEM (+6625)
2016,NBA,West,Conference First Round,Apr 1 Apr 25 2016,,Oklahoma City Thunder (3),4,,Dallas Mavericks (6),1,,OKC3500),DAL (+1750)
2016,NBA,West,Conference First Round,Apr 1 Apr 29 2016,,Portland Trail Blazers (5),4,,Los Angeles Clippers (4),2,,LAC525),POR (+415)
2016,NBA,East,Conference Semifinals,May  May 8 2016,,Cleveland Cavaliers (1),4,,Atlanta Hawks (4),0,,CLE500),ATL (+400)
2016,NBA,East,Conference Semifinals,May  May 15 2016,,Toronto Raptors (2),4,,Miami Heat (3),3,,TOR145),MIA (+125)
2016,NBA,West,Conference Semifinals,May  May 11 2016,,Golden State Warriors (1),4,,Portland Trail Blazers (5),1,,GSW1600),POR (+1050)
2016,NBA,West,Conference Semifinals,Apr 3 May 12 2016,,Oklahoma City Thunder (3),4,,San Antonio Spurs (2),2,,SAS270),OKC (+230)
2016,NBA,East,Conference Finals,May 1 May 27 2016,,Cleveland Cavaliers (1),4,,Toronto Raptors (2),2,,CLE1350),TOR (+885)
2016,NBA,West,Conference Finals,May 1 May 30 2016,,Golden State Warriors (1),4,,Oklahoma City Thunder (3),3,,GSW430),OKC (+345)
2016,NBA,,NBA Finals,Jun  Jun 19 2016,,Cleveland Cavaliers (1),4,,Golden State Warriors (1),3,,GSW220),CLE (+180)
2015,NBA,East,Conference First Round,Apr 1 May 1 2015,,Atlanta Hawks (1),4,,Brooklyn Nets (8),2,,ATL1350),BRK (+900)
2015,NBA,East,Conference First Round,Apr 1 Apr 26 2015,,Cleveland Cavaliers (2),4,,Boston Celtics (7),0,,CLE5000),BOS (+2100)
2015,NBA,East,Conference First Round,Apr 1 Apr 30 2015,,Chicago Bulls (3),4,,Milwaukee Bucks (6),2,,CHI950),MIL (+700)
2015,NBA,East,Conference First Round,Apr 1 Apr 26 2015,,Washington Wizards (5),4,,Toronto Raptors (4),0,,TOR175),WAS (+155)
2015,NBA,West,Conference First Round,Apr 1 Apr 25 2015,,Golden State Warriors (1),4,,New Orleans Pelicans (8),0,,GSW3000),NOP (+1500)
2015,NBA,West,Conference First Round,Apr 1 Apr 28 2015,,Houston Rockets (2),4,,Dallas Mavericks (7),1,,HOU260),DAL (+220)
2015,NBA,West,Conference First Round,Apr 1 May 2 2015,,Los Angeles Clippers (3),4,,San Antonio Spurs (6),3,,SAS180),LAC (+160)
2015,NBA,West,Conference First Round,Apr 1 Apr 29 2015,,Memphis Grizzlies (5),4,,Portland Trail Blazers (4),1,,MEM225),POR (+195)
2015,NBA,East,Conference Semifinals,May  May 14 2015,,Cleveland Cavaliers (2),4,,Chicago Bulls (3),2,,CLE240),CHI (+200)
2015,NBA,East,Conference Semifinals,May  May 15 2015,,Atlanta Hawks (1),4,,Washington Wizards (5),2,,ATL245),WAS (+205)
2015,NBA,West,Conference Semifinals,May  May 17 2015,,Houston Rockets (2),4,,Los Angeles Clippers (3),3,,HOU150),LAC (+130)
2015,NBA,West,Conference Semifinals,May  May 15 2015,,Golden State Warriors (1),4,,Memphis Grizzlies (5),2,,GSW1000),MEM (+725)
2015,NBA,East,Conference Finals,May 2 May 26 2015,,Cleveland Cavaliers (2),4,,Atlanta Hawks (1),0,,CLE190),ATL (+165)
2015,NBA,West,Conference Finals,May 1 May 27 2015,,Golden State Warriors (1),4,,Houston Rockets (2),1,,GSW880),HOU (+665)
2015,NBA,,NBA Finals,Jun  Jun 16 2015,,Golden State Warriors (1),4,,Cleveland Cavaliers (2),2,,GSW220),CLE (+190)
2014,NBA,East,Conference First Round,Apr 1 May 3 2014,,Indiana Pacers (1),4,,Atlanta Hawks (8),3,,IND600),ATL (+440)
2014,NBA,East,Conference First Round,Apr 2 Apr 28 2014,,Miami Heat (2),4,,Charlotte Bobcats (7),0,,MIA2500),CHA (+1000)
2014,NBA,East,Conference First Round,Apr 1 May 4 2014,,Brooklyn Nets (6),4,,Toronto Raptors (3),3,,BRK130),TOR (+110)
2014,NBA,East,Conference First Round,Apr 2 Apr 29 2014,,Washington Wizards (5),4,,Chicago Bulls (4),1,,CHI180),WAS (+160)
2014,NBA,West,Conference First Round,Apr 2 May 4 2014,,San Antonio Spurs (1),4,,Dallas Mavericks (8),3,,SAS875),DAL (+585)
2014,NBA,West,Conference First Round,Apr 1 May 3 2014,,Oklahoma City Thunder (2),4,,Memphis Grizzlies (7),3,,OKC500),MEM (+375)
2014,NBA,West,Conference First Round,Apr 1 May 3 2014,,Los Angeles Clippers (3),4,,Golden State Warriors (6),3,,LAC400),GSW (+285)
2014,NBA,West,Conference First Round,Apr 2 May 2 2014,,Portland Trail Blazers (5),4,,Houston Rockets (4),2,,HOU200),POR (+170)
2014,NBA,East,Conference Semifinals,May  May 15 2014,,Indiana Pacers (1),4,,Washington Wizards (5),2,,IND165),WAS (+145)
2014,NBA,East,Conference Semifinals,May  May 14 2014,,Miami Heat (2),4,,Brooklyn Nets (6),1,,MIA620),BRK (+450)
2014,NBA,West,Conference Semifinals,May  May 14 2014,,San Antonio Spurs (1),4,,Portland Trail Blazers (5),1,,SAS410),POR (+320)
2014,NBA,West,Conference Semifinals,May  May 15 2014,,Oklahoma City Thunder (2),4,,Los Angeles Clippers (3),2,,OKC205),LAC (+175)
2014,NBA,East,Conference Finals,May 1 May 30 2014,,Miami Heat (2),4,,Indiana Pacers (1),2,,MIA380),IND (+300)
2014,NBA,West,Conference Finals,May 1 May 31 2014,,San Antonio Spurs (1),4,,Oklahoma City Thunder (2),2,,SAS245),OKC (+205)
2014,NBA,,NBA Finals,Jun  Jun 15 2014,,San Antonio Spurs (1),4,,Miami Heat (2),1,,SAS155),MIA (+135)
2013,NBA,East,Conference First Round,Apr 2 Apr 28 2013,,Miami Heat (1),4,,Milwaukee Bucks (8),0,,MIA20000),MIL (+7500)
2013,NBA,East,Conference First Round,Apr 2 May 3 2013,,New York Knicks (2),4,,Boston Celtics (7),2,,NYK410),BOS (+320)
2013,NBA,East,Conference First Round,Apr 2 May 3 2013,,Indiana Pacers (3),4,,Atlanta Hawks (6),2,,IND380),ATL (+300)
2013,NBA,East,Conference First Round,Apr 2 May 4 2013,,Chicago Bulls (5),4,,Brooklyn Nets (4),3,,BRK145),CHI (+125)
2013,NBA,West,Conference First Round,Apr 2 May 3 2013,,Oklahoma City Thunder (1),4,,Houston Rockets (8),2,,OKC1900),HOU (+875)
2013,NBA,West,Conference First Round,Apr 2 Apr 28 2013,,San Antonio Spurs (2),4,,Los Angeles Lakers (7),0,,SAS1000),LAL (+650)
